KOTA;K KOTA;K PROPINSI;Provinsi;Kabupaten
Kab. Aceh Besar;101001;101;Aceh;Kab. Aceh Besar
Kab. Pidie;101002;101;Aceh;Kab. Pidie
Kab. Aceh Utara;101003;101;Aceh;Kab. Aceh Utara
Kab. Aceh Timur;101004;101;Aceh;Kab. Aceh Timur
Kab. Aceh Tengah;101005;101;Aceh;Kab. Aceh Tengah
Kab. Aceh Barat;101006;101;Aceh;Kab. Aceh Barat
Kab. Aceh Selatan;101007;101;Aceh;Kab. Aceh Selatan
Kab. Aceh Tenggara;101008;101;Aceh;Kab. Aceh Tenggara
Kab. Simeulue;101009;101;Aceh;Kab. Simeulue
Kab. Bireuen;101010;101;Aceh;Kab. Bireuen
Kab. Aceh Singkil;101011;101;Aceh;Kab. Aceh Singkil
Kab. Aceh Tamiang;101012;101;Aceh;Kab. Aceh Tamiang
Kab. Gayo Lues;101013;101;Aceh;Kab. Gayo Lues
Kab. Aceh Nagan Raya;101014;101;Aceh;Kab. Nagan Raya
Kab. Aceh Barat Daya;101015;101;Aceh;Kab. Aceh Barat Daya
Kab. Aceh Jaya;101016;101;Aceh;Kab. Aceh Jaya
Kab. Bener Meriah;101017;101;Aceh;Kab. Bener Meriah
Kota Sabang;101018;101;Aceh;Kota Sabang
Kota Banda Aceh;101019;101;Aceh;Kota Banda Aceh
Kota Lhokseumawe;101020;101;Aceh;Kota Lhokseumawe
Kota Langsa;101021;101;Aceh;Kota Langsa
Kab. Pidie Jaya;101022;101;Aceh;Kab. Pidie Jaya
Kota Subulussalam;101023;101;Aceh;Kota Subulussalam
Kab. Deli Serdang;102001;102;Sumatera Utara;Kab. Deli Serdang
Kab. Langkat;102002;102;Sumatera Utara;Kab. Langkat
Kab. Karo;102003;102;Sumatera Utara;Kab. Karo
Kab. Simalungun;102004;102;Sumatera Utara;Kab. Simalungun
Kab. Dairi;102005;102;Sumatera Utara;Kab. Dairi
Kab. Asahan;102006;102;Sumatera Utara;Kab. Asahan
Kab. Labuhanbatu;102007;102;Sumatera Utara;Kab. Labuhanbatu
Kab. Tapanuli Utara;102008;102;Sumatera Utara;Kab. Tapanuli Utara
Kab. Tapanuli Tengah;102009;102;Sumatera Utara;Kab. Tapanuli Tengah
Kab. Tapanuli Selatan;102010;102;Sumatera Utara;Kab. Tapanuli Selatan
Kab. Mandailing Natal;102012;102;Sumatera Utara;Kab. Mandailing Natal
