Provinsi,Kabupaten
"Aceh","Kab. Aceh Barat"
"Aceh","Kab. Aceh Barat Daya"
"Aceh","Kab. Aceh Besar"
"Aceh","Kab. Aceh Jaya"
"Aceh","Kab. Aceh Selatan"
"Aceh","Kab. Aceh Singkil"
"Aceh","Kab. Aceh Tamiang"
"Aceh","Kab. Aceh Tengah"
"Aceh","Kab. Aceh Tenggara"
"Aceh","Kab. Aceh Timur"
"Aceh","Kab. Aceh Utara"
"Aceh","Kab. Bener Meriah"
"Aceh","Kab. Bireuen"
"Aceh","Kab. Gayo Lues"
"Aceh","Kab. Nagan Raya"
"Aceh","Kab. Pidie"
"Aceh","Kab. Pidie Jaya"
"Aceh","Kab. Simeulue"
"Aceh","Kota Banda Aceh"
"Aceh","Kota Langsa"
"Aceh","Kota Lhokseumawe"
"Aceh","Kota Sabang"
"Aceh","Kota Subulussalam"
"Sumatera Utara","Kab. Asahan"
"Sumatera Utara","Kab. Batubara"
"Sumatera Utara","Kab. Dairi"
"Sumatera Utara","Kab. Deli Serdang"
"Sumatera Utara","Kab. Humbang Hasundutan"
"Sumatera Utara","Kab. Karo"
"Sumatera Utara","Kab. Labuhanbatu"
"Sumatera Utara","Kab. Labuhanbatu Selatan"
"Sumatera Utara","Kab. Labuhanbatu Utara"
"Sumatera Utara","Kab. Langkat"
"Sumatera Utara","Kab. Mandailing Natal"
"Sumatera Utara","Kab. Nias"
"Sumatera Utara","Kab. Nias Barat"
"Sumatera Utara","Kab. Nias Selatan"
"Sumatera Utara","Kab. Nias Utara"
"Sumatera Utara","Kab. Padang Lawas"
"Sumatera Utara","Kab. Padang Lawas Utara"
"Sumatera Utara","Kab. Pakpak Bharat"
"Sumatera Utara","Kab. Samosir"
"Sumatera Utara","Kab. Serdang Bedagai"
"Sumatera Utara","Kab. Simalungun"
"Sumatera Utara","Kab. Tapanuli Selatan"
"Sumatera Utara","Kab. Tapanuli Tengah"
"Sumatera Utara","Kab. Tapanuli Utara"
"Sumatera Utara","Kab. Toba"
"Sumatera Utara","Kota Binjai"
"Sumatera Utara","Kota Gunungsitoli"
"Sumatera Utara","Kota Medan"
"Sumatera Utara","Kota Padangsidimpuan"
"Sumatera Utara","Kota Pematangsiantar"
"Sumatera Utara","Kota Sibolga"
"Sumatera Utara","Kota Tanjungbalai"
"Sumatera Utara","Kota Tebing Tinggi"
"Sumatera Barat","Kab. Agam"
"Sumatera Barat","Kab. Dharmasraya"
"Sumatera Barat","Kab. Kepulauan Mentawai"
"Sumatera Barat","Kab. Lima Puluh Kota"
"Sumatera Barat","Kab. Padang Pariaman"
